Date,FB_Open,FB_High,FB_Low,FB_Close,FB_Volume,FB_Dividends,FB_Stock Splits,AAPL_Open,AAPL_High,AAPL_Low,AAPL_Close,AAPL_Volume,AAPL_Dividends,AAPL_Stock Splits,AMZN_Open,AMZN_High,AMZN_Low,AMZN_Close,AMZN_Volume,AMZN_Dividends,AMZN_Stock Splits,NFLX_Open,NFLX_High,NFLX_Low,NFLX_Close,NFLX_Volume,NFLX_Dividends,NFLX_Stock Splits,GOOGL_Open,GOOGL_High,GOOGL_Low,GOOGL_Close,GOOGL_Volume,GOOGL_Dividends,GOOGL_Stock Splits,MSFT_Open,MSFT_High,MSFT_Low,MSFT_Close,MSFT_Volume,MSFT_Dividends,MSFT_Stock Splits
2017-09-25,169.24,169.3,161.56,162.87,41251600,0,0,36.02,36.46,35.82,36.15,177549200,0.0,0.0,949.31,949.42,932.89,939.79,5124000,0,0,186.46,186.55,177.7,178.55,9367200,0,0,939.45,939.75,924.51,934.28,1873400,0,0,70.85,71.0,69.73,70.05,24149200,0.0,0
2017-09-26,164.5,165.5,162.78,164.21,23363300,0,0,36.45,36.96,36.43,36.77,146640000,0.0,0.0,945.49,948.63,931.75,938.6,3564800,0,0,180.7,180.95,176.55,179.38,5602500,0,0,936.69,944.08,935.12,937.43,1672700,0,0,70.44,70.58,69.79,70.05,18019600,0.0,0
2017-09-27,165.9,168.34,165.57,167.68,19242500,0,0,36.93,37.15,36.87,37.04,102016800,0.0,0.0,948.0,955.3,943.3,950.87,3148900,0,0,181.01,183.34,180.7,181.97,5710500,0,0,942.74,965.43,941.95,959.9,2334600,0,0,70.33,70.92,69.97,70.62,19565100,0.0,0
2017-09-28,167.94,169.07,167.16,168.73,12178700,0,0,36.95,37.05,36.67,36.81,88022000,0.0,0.0,951.86,959.7,950.1,956.4,2522600,0,0,181.25,181.95,179.36,180.7,4077000,0,0,956.25,966.18,955.55,964.81,1400900,0,0,70.32,70.73,70.1,70.64,10883800,0.0,0
2017-09-29,168.83,171.66,168.81,170.87,15340400,0,0,36.79,37.01,36.5,37.01,105199200,0.0,0.0,960.11,964.83,958.38,961.35,2543800,0,0,180.73,182.9,180.65,181.35,4227900,0,0,966.0,975.81,966.0,973.72,2031100,0,0,70.7,71.28,70.65,71.23,17079100,0.0,0
2017-10-02,171.39,171.87,168.75,169.47,13392300,0,0,37.04,37.09,36.67,36.93,74795200,0.0,0.0,964.0,967.31,952.12,959.19,2442900,0,0,182.11,182.8,176.58,177.01,7342000,0,0,975.65,977.74,961.95,967.47,1539100,0,0,71.44,71.73,71.05,71.34,15304800,0.0,0
2017-10-03,169.3,170.73,169.2,169.96,8190300,0,0,36.98,37.24,36.96,37.1,64921200,0.0,0.0,958.0,963.69,950.37,957.1,2666600,0,0,177.65,179.7,177.55,179.19,3956900,0,0,967.56,972.44,962.71,972.08,1083300,0,0,71.4,71.6,70.94,71.01,12190400,0.0,0
2017-10-04,169.83,170.67,168.29,168.42,12127900,0,0,36.89,36.95,36.61,36.86,80655200,0.0,0.0,954.21,967.79,954.05,965.45,2527400,0,0,181.41,186.7,181.25,184.45,9235900,0,0,971.76,974.4,965.61,966.78,1057800,0,0,70.85,71.45,70.48,71.42,13317700,0.0,0
2017-10-05,169.18,171.31,168.6,171.24,14580600,0,0,37.02,37.33,36.99,37.31,85135200,0.0,0.0,970.0,981.51,969.64,980.85,3229200,0,0,185.65,194.49,184.49,194.39,19412700,0,0,972.79,986.51,970.27,985.19,1780900,0,0,71.93,72.79,71.68,72.64,21195300,0.0,0
2017-10-06,170.25,172.37,169.75,172.23,13124500,0,0,37.21,37.34,37.11,37.29,69630400,0.0,0.0,975.64,995.75,975.64,989.58,3782100,0,0,194.3,198.92,192.05,198.02,15348400,0,0,980.0,994.26,978.51,993.64,1553000,0,0,72.36,72.7,72.23,72.67,13959800,0.0,0
