date_report,FB_consensus_estimate_eps,FB_reported_eps,FB_revenue_estimate,FB_revenue_actual,AAPL_consensus_estimate_eps,AAPL_reported_eps,AAPL_revenue_estimate,AAPL_revenue_actual,AMZN_consensus_estimate_eps,AMZN_reported_eps,AMZN_revenue_estimate,AMZN_revenue_actual,NFLX_consensus_estimate_eps,NFLX_reported_eps,NFLX_revenue_estimate,NFLX_revenue_actual,GOOGL_consensus_estimate_eps,GOOGL_reported_eps,GOOGL_revenue_estimate,GOOGL_revenue_actual,MSFT_consensus_estimate_eps,MSFT_reported_eps,MSFT_revenue_estimate,MSFT_revenue_actual
2017-10-16,,,,,,,,,,,,,0.32,0.29,2970000000.0,2990000000.0,,,,,,,,
2017-10-17,,,,,,,,,,,,,0.32,0.29,2970000000.0,2990000000.0,,,,,,,,
2017-10-18,,,,,,,,,,,,,0.32,0.29,2970000000.0,2990000000.0,,,,,,,,
2017-10-19,,,,,,,,,,,,,0.32,0.29,2970000000.0,2990000000.0,,,,,,,,
2017-10-20,,,,,,,,,,,,,0.32,0.29,2970000000.0,2990000000.0,,,,,,,,
2017-10-21,,,,,,,,,,,,,0.32,0.29,2970000000.0,2990000000.0,,,,,,,,
2017-10-22,,,,,,,,,,,,,0.32,0.29,2970000000.0,2990000000.0,,,,,,,,
2017-10-23,,,,,,,,,,,,,0.32,0.29,2970000000.0,2990000000.0,,,,,,,,
2017-10-24,,,,,,,,,,,,,0.32,0.29,2970000000.0,2990000000.0,,,,,,,,
2017-10-25,,,,,,,,,,,,,0.32,0.29,2970000000.0,2990000000.0,,,,,,,,
2017-10-26,,,,,,,,,1.09,0.52,42260000000.0,43740000000.0,0.32,0.29,2970000000.0,2990000000.0,8.43,9.57,21940000000.0,22270000000.0,0.72,0.84,23570000000.0,24500000000.0
2017-10-27,,,,,,,,,1.09,0.52,42260000000.0,43740000000.0,0.32,0.29,2970000000.0,2990000000.0,8.43,9.57,21940000000.0,22270000000.0,0.72,0.84,23570000000.0,24500000000.0
2017-10-28,,,,,,,,,1.09,0.52,42260000000.0,43740000000.0,0.32,0.29,2970000000.0,2990000000.0,8.43,9.57,21940000000.0,22270000000.0,0.72,0.84,23570000000.0,24500000000.0
2017-10-29,,,,,,,,,1.09,0.52,42260000000.0,43740000000.0,0.32,0.29,2970000000.0,2990000000.0,8.43,9.57,21940000000.0,22270000000.0,0.72,0.84,23570000000.0,24500000000.0
2017-10-30,,,,,,,,,1.09,0.52,42260000000.0,43740000000.0,0.32,0.29,2970000000.0,2990000000.0,8.43,9.57,21940000000.0,22270000000.0,0.72,0.84,23570000000.0,24500000000.0
2017-10-31,,,,,,,,,1.09,0.52,42260000000.0,43740000000.0,0.32,0.29,2970000000.0,2990000000.0,8.43,9.57,21940000000.0,22270000000.0,0.72,0.84,23570000000.0,24500000000.0
2017-11-01,1.28,1.59,9840000000.0,10330000000.0,,,,,1.09,0.52,42260000000.0,43740000000.0,0.32,0.29,2970000000.0,2990000000.0,8.43,9.57,21940000000.0,22270000000.0,0.72,0.84,23570000000.0,24500000000.0
2017-11-02,1.28,1.59,9840000000.0,10330000000.0,0.4675,0.5175,50710000000.0,52580000000.0,1.09,0.52,42260000000.0,43740000000.0,0.32,0.29,2970000000.0,2990000000.0,8.43,9.57,21940000000.0,22270000000.0,0.72,0.84,23570000000.0,24500000000.0
2017-11-03,1.28,1.59,9840000000.0,10330000000.0,0.4675,0.5175,50710000000.0,52580000000.0,1.09,0.52,42260000000.0,43740000000.0,0.32,0.29,2970000000.0,2990000000.0,8.43,9.57,21940000000.0,22270000000.0,0.72,0.84,23570000000.0,24500000000.0
