Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote,Unnamed: 8
TXG,"10x Genomics, Inc.",125.0,12540000000,2019.0,Capital Goods,Biotechnology: Laboratory Analytical Instruments,https://old.nasdaq.com/symbol/txg,
YI,"111, Inc.",5.57,458740000,2018.0,Health Care,Medical/Nursing Services,https://old.nasdaq.com/symbol/yi,
PIH,"1347 Property Insurance Holdings, Inc.",4.37,26520000,2014.0,Finance,Property-Casualty Insurers,https://old.nasdaq.com/symbol/pih,
TURN,180 Degree Capital Corp.,2.01,62550000,,Finance,Finance/Investors Services,https://old.nasdaq.com/symbol/turn,
FLWS,"1-800-FLOWERS.COM, Inc.",23.35,150000000,1999.0,Consumer Services,Other Specialty Stores,https://old.nasdaq.com/symbol/flws,
GOED,1847 Goedeker Inc.,7.75,47360000,2020.0,Consumer Services,Home Furnishings,https://old.nasdaq.com/symbol/goed,
BCOW,"1895 Bancorp of Wisconsin, Inc.",8.86,43210000,2019.0,Finance,Banks,https://old.nasdaq.com/symbol/bcow,
ONEM,"1Life Healthcare, Inc.",27.57,3480000000,2020.0,Health Care,Medical/Nursing Services,https://old.nasdaq.com/symbol/onem,
FCCY,1st Constitution Bancorp (NJ),11.9,121570000,,Finance,Savings Institutions,https://old.nasdaq.com/symbol/fccy,
SRCE,1st Source Corporation,32.61,83320000,,Finance,Major Banks,https://old.nasdaq.com/symbol/srce,
VNET,"21Vianet Group, Inc.",20.66,2340000000,2011.0,Technology,"Computer Software: Programming, Data Processing",https://old.nasdaq.com/symbol/vnet,
XXII,"22nd Century Group, Inc",0.5598,77730000,,Consumer Non-Durables,Farming/Seeds/Milling,https://old.nasdaq.com/symbol/xxii,
TWOU,"2U, Inc.",36.82,2370000000,2014.0,Technology,Computer Software: Prepackaged Software,https://old.nasdaq.com/symbol/twou,
QFIN,"360 Finance, Inc.",10.66,1560000000,2018.0,Finance,Finance: Consumer Services,https://old.nasdaq.com/symbol/qfin,
KRKR,36Kr Holdings Inc.,2.79,104610000,2019.0,Miscellaneous,Business Services,https://old.nasdaq.com/symbol/krkr,
DDD,3D Systems Corporation,5.22,632330000,,Technology,Computer Software: Prepackaged Software,https://old.nasdaq.com/symbol/ddd,
MMM,3M Company,166.17,95720000000,,Health Care,Medical/Dental Instruments,https://old.nasdaq.com/symbol/mmm,
WBAI,500.com Limited,3.27,140610000,2013.0,Consumer Services,Services-Misc. Amusement & Recreation,https://old.nasdaq.com/symbol/wbai,
JOBS,"51job, Inc.",66.46,4460000000,2004.0,Technology,Diversified Commercial Services,https://old.nasdaq.com/symbol/jobs,
WUBA,58.com Inc.,55.67,8350000000,2013.0,Technology,"Computer Software: Programming, Data Processing",https://old.nasdaq.com/symbol/wuba,
ETNB,"89bio, Inc.",34.56,582470000,2019.0,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/etnb,
JFK,8i Enterprises Acquisition Corp,10.3,7650000,2019.0,Finance,Business Services,https://old.nasdaq.com/symbol/jfk,
EGHT,8x8 Inc,14.87,1550000000,,Technology,EDP Services,https://old.nasdaq.com/symbol/eght,
EGHT,8x8 Inc,14.87,1550000000,,Technology,EDP Services,https://old.nasdaq.com/symbol/eght,
NMTR,"9 Meters Biopharma, Inc.",0.6549,90990000,2018.0,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/nmtr,
JFU,9F Inc.,1.01,197140000,2019.0,Finance,Finance: Consumer Services,https://old.nasdaq.com/symbol/jfu,
AHC,A.H. Belo Corporation,1.41,33670000,,Consumer Services,Newspapers/Magazines,https://old.nasdaq.com/symbol/ahc,
AOS,A.O Smith Corporation,48.78,7870000000,,Consumer Durables,Consumer Electronics/Appliances,https://old.nasdaq.com/symbol/aos,
ATEN,"A10 Networks, Inc.",6.89,536930000,2014.0,Technology,Computer Communications Equipment,https://old.nasdaq.com/symbol/aten,
AAON,"AAON, Inc.",56.46,2950000000,,Capital Goods,Industrial Machinery/Components,https://old.nasdaq.com/symbol/aaon,
AIR,AAR Corp.,18.26,644640000,,Capital Goods,Aerospace,https://old.nasdaq.com/symbol/air,
AAN,"Aaron&#39;s,  Inc.",58.14,390000000,,Technology,Diversified Commercial Services,https://old.nasdaq.com/symbol/aan,
ABB,ABB Ltd,26.15,55660000000,,Consumer Durables,Electrical Products,https://old.nasdaq.com/symbol/abb,
ABT,Abbott Laboratories,104.7,185370000000,,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/abt,
ABBV,AbbVie Inc.,89.7,158310000000,2012.0,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/abbv,
ABEO,Abeona Therapeutics Inc.,1.92,162770000,,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/abeo,
ANF,Abercrombie & Fitch Company,14.26,889440000,,Consumer Services,Clothing/Shoe/Accessory Stores,https://old.nasdaq.com/symbol/anf,
FAX,Aberdeen Asia-Pacific Income Fund Inc,4.05,10000000,1986.0,,,https://old.nasdaq.com/symbol/fax,
IAF,Aberdeen Australia Equity Fund Inc,4.57,103930000,,,,https://old.nasdaq.com/symbol/iaf,
AEF,"Aberdeen Emerging Markets Equity Income Fund, Inc.",6.56,332930000,,,,https://old.nasdaq.com/symbol/aef,
AGD,Aberdeen Global Dynamic Dividend Fund,9.36,117460000,2006.0,,,https://old.nasdaq.com/symbol/agd,
FCO,"Aberdeen Global Income Fund, Inc.",6.94,60550000,1992.0,,,https://old.nasdaq.com/symbol/fco,
AWP,Aberdeen Global Premier Properties Fund,4.76,406540000,2007.0,,,https://old.nasdaq.com/symbol/awp,
ACP,Aberdeen Income Credit Strategies Fund,10.01,17450000,2011.0,,,https://old.nasdaq.com/symbol/acp,
JEQ,"Aberdeen Japan Equity Fund, Inc. ",7.955,106660000,1992.0,,,https://old.nasdaq.com/symbol/jeq,
AOD,Aberdeen Total Dynamic Dividend Fund,8.02,845560000,2007.0,,,https://old.nasdaq.com/symbol/aod,
ABMD,"ABIOMED, Inc.",269.77,12150000000,,Health Care,Medical/Dental Instruments,https://old.nasdaq.com/symbol/abmd,
ABM,ABM Industries Incorporated,36.14,2410000000,,Finance,Diversified Commercial Services,https://old.nasdaq.com/symbol/abm,
AXAS,Abraxas Petroleum Corporation,0.1485,24960000,,Energy,Oil & Gas Production,https://old.nasdaq.com/symbol/axas,
ACIU,AC Immune SA,7.79,558860000,2016.0,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/aciu,
ACIA,"Acacia Communications, Inc.",68.49,2880000000,2016.0,Technology,Semiconductors,https://old.nasdaq.com/symbol/acia,
ACTG,Acacia Research Corporation,3.76,185290000,,Miscellaneous,Multi-Sector Companies,https://old.nasdaq.com/symbol/actg,
ACHC,"Acadia Healthcare Company, Inc.",29.9,2660000000,,Health Care,Medical Specialities,https://old.nasdaq.com/symbol/achc,
ACAD,ACADIA Pharmaceuticals Inc.,36.62,5820000000,1985.0,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/acad,
AKR,Acadia Realty Trust,11.2,966160000,,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/akr,
ACAM,Acamar Partners Acquisition Corp.,10.25,391520000,2019.0,Finance,Business Services,https://old.nasdaq.com/symbol/acam,
ACST,"Acasti Pharma, Inc.",0.19,18410000,,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/acst,
ACEL,"Accel Entertainment, Inc.",12.77,1120000000,2017.0,Consumer Services,Services-Misc. Amusement & Recreation,https://old.nasdaq.com/symbol/acel,
