,date,tweet,company
0,2020-09-24,"  Highlight: Another 870,000 Americans filed new jobless claims last week. @emily_mcck explains: pic.twitter.com/J7CxAq9Wnj
",YahooFinance
1,2020-09-24,"  Highlight: Microsoft Executive Vice President of Gaming @XboxP3 discusses what to expect from the new Xbox consoles: pic.twitter.com/XNwFyGt47E
",YahooFinance
2,2020-09-24,"  Highlight: “We like both PayPal and Square a lot,” @MizuhoAmericas Senior Tech Analyst Dan Dolew says. “For square, the CashApp has been a tremendous success.” More: pic.twitter.com/Sld0O2DvnQ
",YahooFinance
3,2020-09-24,"  Highlight: @adrianambells discusses new poll findings that 65% of Americans are worried about access health care amid the coronavirus pandemic: pic.twitter.com/ORSHeUz5A3
",YahooFinance
4,2020-09-24,"  Highlight: @openigloo Co-Founder Allia Mohamed explains how her app helps give tenants data to make informed decisions: pic.twitter.com/c1tkewfLrZ
",YahooFinance
5,2020-09-24,"  Highlight: “I think what people are underestimating is the impact of the supply chains to get to a low carbon or net zero carbon future,” HS Markit vice chairman and author of The New Map: Energy, Climate and the Clash of Nations @DanielYergin says about clean energy. pic.twitter.com/5dK6A6Uz7Q
",YahooFinance
6,2020-09-24,"  Highlight: “If you had a plan to buy a house this year … you probably want to follow through on your plan,” Lending Tree Chief Economist @tendayiEcon says. “I would caution against rushing into buying a house.” More: pic.twitter.com/VztgPI6fOA
",YahooFinance
7,2020-09-24,"  Highlight: ""I am very worried that we're pretty far away from what we think is maximum employment, and I think there are going to be significant headwinds to getting there quickly,"" @BostonFed President Eric Rosengren says. Full interview: pic.twitter.com/uDZHHI4Idj
",YahooFinance
8,2020-09-24,"  Highlight: “You’re going to get some selling due to election risk and a lot of other worries about the coronavirus coming back,” @WealthCG CEO @jleewcg says. “With that said, the rotation to more value and cyclical sectors has already begun.” Full interview: pic.twitter.com/q7vsnFgkPV
",YahooFinance
9,2020-09-24,"  Fed's Williams says structural inequality stifles economic growth yhoo.it/3hXDpA5 pic.twitter.com/8w6rN5Seyn
",YahooFinance
10,2020-09-24,"  The future of fast-food will include robots: former Sonic CEO yhoo.it/305cdJs by @BrianSozzi pic.twitter.com/eN7gc1F0q7
",YahooFinance
11,2020-09-24,"  Highlight: “Taking that longer-term view, we’re not convinced that we necessarily need that additional stimulus to maintain the economic momentum,” @WFAssetMgmt's Brian Jacobsen says. “It’s more affecting the shifts in sentiment… [than] the fundamentals of the economy.” pic.twitter.com/mCLHBfbAHn
",YahooFinance
12,2020-09-24,"  Highlight: “What we’re really doing is looking at specific processes inside of life sciences that are slow, cumbersome, redundant, and building tech to address those and make them much more efficient,” @Within3 CEO Lance Hill says. Full interview: pic.twitter.com/cyVILXHgUz
",YahooFinance
13,2020-09-24,"  Highlight: “The number of small business closures as we move through the next couple of months — that’s the critical data here that people should keep their eye on,” National Taxpayers Union's @MDuppler says. “If those businesses close, those workers don’t get their jobs back.” pic.twitter.com/BCboxTKSGW
",YahooFinance
14,2020-09-24,"  Highlight: @jessicaalba on her company @Honest: ""If we can do anything for business, we can show that you can have a positive impact on the world. You can put health and wellness as a value. ... You could also have a really healthy business."" pic.twitter.com/5XrCtwe4D7
",YahooFinance
15,2020-09-24,"  Highlight: “There's a much broader set of sectors that are affected by the physical effects of climate change than the sectors that would be affected should there be action on climate change,” @Trucost Chief Executive Officer @RichMattison says. Full interview: pic.twitter.com/18ahUOEQxk
",YahooFinance
16,2020-09-24,"  Homebuilders are holding back sales amid historic demand yhoo.it/3hU1lEA by @sarahapaynter pic.twitter.com/hPfdELCodE
",YahooFinance
17,2020-09-24,"  From Aunt Jemima to Uncle Ben's, a reckoning for racist brand names and logos yhoo.it/3hXnLEM by @readDanwrite pic.twitter.com/8PsJbeKa8g
",YahooFinance
18,2020-09-24,"  Jessica Alba: Companies don’t need a ‘cut-throat white middle-aged guy’ to succeed yhoo.it/33ULroz by @MaxZahn_ and @serwer pic.twitter.com/zybszGpCFx
",YahooFinance
19,2020-09-25,"  Trump’s health care sham yhoo.it/33409tS by @rickjnewman pic.twitter.com/prwz48PpgU
",YahooFinance
20,2020-09-24,"  Google, Facebook CEOs face possible subpoena from Senate panel yhoo.it/3cqI6Bs via @business pic.twitter.com/NDfFle8RB7
",YahooFinance
21,2020-09-24,"  Actress @JessicaAlba says The @Honest Company is driven by “Real World Challenges” while keeping ethics In mind. Watch Jessica Alba’s full #Influencers interview now: yhoo.it/3j1hkls pic.twitter.com/C4E0wcoJD3
",YahooFinance
22,2020-09-24,"  Square is positioned to be a winner by helping small businesses digitize post-pandemic: Oppenheimer yhoo.it/36bU7JE by @readDanwrite pic.twitter.com/4PhUYcfzKY
",YahooFinance
23,2020-09-24,"  Highlight: “There's a much broader set of sectors that are affected by the physical effects of climate change than the sectors that would be affected should there be action on climate change,” @Trucost Chief Executive Officer @RichMattison says. Full interview: pic.twitter.com/18ahUOEQxk
",YahooFinance
24,2020-09-24,"  Highlight: “Taking that longer-term view, we’re not convinced that we necessarily need that additional stimulus to maintain the economic momentum,” @WFAssetMgmt's Brian Jacobsen says. “It’s more affecting the shifts in sentiment… [than] the fundamentals of the economy.” pic.twitter.com/mCLHBfbAHn
",YahooFinance
