,date,tweet,company
0,2020-09-24,"  Take an early look at the front page of The Wall Street Journal on.wsj.com/2G9eUm8 pic.twitter.com/Bo8S6qCZED
",WSJ
1,2020-09-24,"  Gov. Gavin Newsom signed an executive order that aims to end the sale of new fossil-fuel powered vehicles in the state in the next 15 years #WSJWhatsNow pic.twitter.com/FwTfRjUppk
",WSJ
2,2020-09-24,"  Plus, see how the presidential candidates compare on immigration, tax policy and more on.wsj.com/304G30J pic.twitter.com/IcL0SgCZcU
",WSJ
3,2020-09-24,"  Two police officers were shot in Louisville, Ky., as protesters in cities from New York to Los Angeles took to the streets after a grand jury decision in the Breonna Taylor case #WSJWhatsNow pic.twitter.com/tYBiHfDEJ3
",WSJ
4,2020-09-24," #WSJWhatsNow: U.S. stocks are up as technology stocks recover some of their recent losses pic.twitter.com/ZenYfmVXg4
",WSJ
5,2020-09-25,"  Basketball has always rewarded the players who are the biggest and can jump the highest. But there is only so much vertical room for them to navigate. Never has the NBA been so horizontal. on.wsj.com/2FQRR00
",WSJ
6,2020-09-24,"  Tea is becoming more expensive as increased demand during the pandemic and supply shortages have pushed prices higher #WSJWhatsNow pic.twitter.com/KJcLar8cAv
",WSJ
7,2020-09-25,"  From @WSJopinion: President Trump’s election remarks feed the left’s fantasy of a post-election coup, writes The Editorial Board on.wsj.com/363nONf
",WSJ
8,2020-09-24,"  Mary L. Trump, the president’s niece, claims in a lawsuit that he and others swindled her out of a multimillion-dollar inheritance by engaging in a decadeslong fraud that also harmed New York City taxpayers on.wsj.com/301TTB6
",WSJ
9,2020-09-24,"  Joe Biden’s party has grown more liberal, including on abortion. That puts him in a delicate balancing act as he seeks to become America’s second Catholic president. on.wsj.com/32Z2cj1 pic.twitter.com/SoN8jKYmUH
",WSJ
10,2020-09-24,"  Sen. Dianne Feinstein’s husband, a regent at the University of California, likely helped an unqualified student gain admission to UC Berkeley, the state auditor said on.wsj.com/332MQKx
",WSJ
11,2020-09-24,"  Particles sent into the air by wildfires, like those on the West Coast, can have negative effects on a person’s health, and could even exacerbate Covid-19 symptoms #WSJWhatsNow pic.twitter.com/V8HmHLIhOI
",WSJ
